predictor,predictor.1,predictor.2,predictor.3,predictor.4,predictor.5,predictor.6,predictor.7,predictor.8,predictor.9,predictor.10,predictor.11,predictor.12,predictor.13,predictor.14,predictor.15,predictor.16,predictor.17,predictor.18,predictor.19,north,south,outcomes
33.61547262794322,33.12099032335839,59.20304046246274,1.0,33.61547262794322,1.0,30.80584360149873,33.12099032335839,33.12099032335839,1.0,31.78049716414141,32.64965543462902,59.20304046246274,30.80584360149873,31.78049716414141,58.412327466040935,1.0,33.12099032335839,32.64965543462902,58.412327466040935,1,0,1
33.734255586866,33.54101966249684,59.36328831862332,2.0,33.734255586866,1.0,30.23243291566195,33.37663853655727,33.54101966249684,1.0,31.064449134018133,33.24154027718932,59.36328831862332,30.23243291566195,31.064449134018133,58.30951894845301,2.0,33.37663853655727,33.24154027718932,58.30951894845301,1,0,1
33.54101966249684,61.1310068623117,60.13318551349163,16.15549442140351,33.54101966249684,28.0713376952364,27.073972741361768,18.0,61.1310068623117,28.0713376952364,1.0,46.04345773288535,60.13318551349163,27.073972741361768,1.0,45.044422518220834,16.15549442140351,18.0,46.04345773288535,45.044422518220834,1,0,1
1.0,32.7566787083184,58.54912467321779,60.00833275470999,1.0,33.61547262794322,59.53990258641679,60.92618484691127,32.7566787083184,33.61547262794322,31.32091952673165,27.892651361962702,58.54912467321779,59.53990258641679,31.32091952673165,16.278820596099706,60.00833275470999,60.92618484691127,27.892651361962702,16.278820596099706,1,0,1
33.301651610693426,33.421549934136806,59.481089431852205,1.0,33.301651610693426,1.4142135623730951,31.064449134018133,32.64965543462902,33.421549934136806,1.4142135623730951,32.01562118716424,32.802438933713454,59.481089431852205,31.064449134018133,32.01562118716424,58.59180830116101,1.0,32.64965543462902,32.802438933713454,58.59180830116101,1,0,1
33.24154027718932,32.89376840679705,59.4138031100518,1.0,33.24154027718932,1.0,31.38470965295043,32.89376840679705,32.89376840679705,1.0,32.31098884280702,32.57299494980466,59.4138031100518,31.38470965295043,32.31098884280702,58.728187440104094,1.0,32.89376840679705,32.57299494980466,58.728187440104094,1,0,1
1.0,34.0,59.61543424315552,1.4142135623730951,1.0,33.0,58.69412236331676,1.0,34.0,33.0,31.144823004794876,33.015148038438355,59.61543424315552,58.69412236331676,31.144823004794876,58.30951894845301,1.4142135623730951,1.0,33.015148038438355,58.30951894845301,1,0,1
32.31098884280702,33.24154027718932,59.07622195096772,59.033888572581766,32.31098884280702,1.0,32.64965543462902,32.202484376209235,33.24154027718932,1.0,31.76476034853718,31.304951684997057,59.07622195096772,32.64965543462902,31.76476034853718,1.0,59.033888572581766,32.202484376209235,31.304951684997057,1.0,1,0,1
33.421549934136806,32.64965543462902,33.301651610693426,1.4142135623730951,33.421549934136806,1.0,1.4142135623730951,33.301651610693426,32.64965543462902,1.0,1.0,32.55764119219941,33.301651610693426,1.4142135623730951,1.0,33.24154027718932,1.4142135623730951,33.301651610693426,32.55764119219941,33.24154027718932,1,0,1
33.61547262794322,33.12099032335839,59.20304046246274,1.0,33.61547262794322,1.0,30.80584360149873,33.12099032335839,33.12099032335839,1.0,31.78049716414141,32.64965543462902,59.20304046246274,30.80584360149873,31.78049716414141,58.412327466040935,1.0,33.12099032335839,32.64965543462902,58.412327466040935,1,0,1
33.54101966249684,33.734255586866,59.36328831862332,1.0,33.54101966249684,1.0,31.064449134018133,33.37663853655727,33.734255586866,1.0,30.23243291566195,33.54101966249684,59.36328831862332,31.064449134018133,30.23243291566195,58.83026432033091,1.0,33.37663853655727,33.54101966249684,58.83026432033091,1,0,1
33.54101966249684,60.13318551349163,61.1310068623117,15.231546211727816,33.54101966249684,27.073972741361768,28.0713376952364,19.0,60.13318551349163,27.073972741361768,1.0,46.04345773288535,61.1310068623117,28.0713376952364,1.0,47.042533945356304,15.231546211727816,19.0,46.04345773288535,47.042533945356304,1,0,1
1.0,33.61547262794322,59.53990258641679,61.326992425847855,1.0,32.7566787083184,58.54912467321779,60.41522986797286,33.61547262794322,32.7566787083184,31.32091952673165,28.16025568065745,59.53990258641679,58.54912467321779,31.32091952673165,17.26267650163207,61.326992425847855,60.41522986797286,28.16025568065745,17.26267650163207,1,0,1
33.301651610693426,33.421549934136806,59.481089431852205,1.0,33.301651610693426,1.4142135623730951,31.064449134018133,32.64965543462902,33.421549934136806,1.4142135623730951,32.01562118716424,32.802438933713454,59.481089431852205,31.064449134018133,32.01562118716424,58.59180830116101,1.0,32.64965543462902,32.802438933713454,58.59180830116101,1,0,1
33.24154027718932,32.89376840679705,59.4138031100518,1.0,33.24154027718932,1.0,31.38470965295043,32.89376840679705,32.89376840679705,1.0,32.31098884280702,32.57299494980466,59.4138031100518,31.38470965295043,32.31098884280702,58.728187440104094,1.0,32.89376840679705,32.57299494980466,58.728187440104094,1,0,1
1.0,33.0,58.69412236331676,1.0,1.0,34.0,59.61543424315552,1.4142135623730951,33.0,34.0,31.144823004794876,33.015148038438355,58.69412236331676,59.61543424315552,31.144823004794876,58.30951894845301,1.0,1.4142135623730951,33.015148038438355,58.30951894845301,1,0,1
33.24154027718932,32.31098884280702,59.033888572581766,59.07622195096772,33.24154027718932,1.0,31.304951684997057,31.76476034853718,32.31098884280702,1.0,32.202484376209235,32.64965543462902,59.033888572581766,31.304951684997057,32.202484376209235,1.0,59.07622195096772,31.76476034853718,32.64965543462902,1.0,1,0,1
33.421549934136806,33.301651610693426,32.64965543462902,1.4142135623730951,33.421549934136806,1.4142135623730951,1.0,33.301651610693426,33.301651610693426,1.4142135623730951,1.0,33.24154027718932,32.64965543462902,1.0,1.0,32.55764119219941,1.4142135623730951,33.301651610693426,33.24154027718932,32.55764119219941,1,0,1
33.61547262794322,33.12099032335839,59.20304046246274,1.0,33.61547262794322,1.0,30.80584360149873,33.12099032335839,33.12099032335839,1.0,31.78049716414141,32.64965543462902,59.20304046246274,30.80584360149873,31.78049716414141,58.412327466040935,1.0,33.12099032335839,32.64965543462902,58.412327466040935,1,0,1
33.734255586866,33.54101966249684,59.36328831862332,2.0,33.734255586866,1.0,30.23243291566195,33.37663853655727,33.54101966249684,1.0,31.064449134018133,33.24154027718932,59.36328831862332,30.23243291566195,31.064449134018133,58.30951894845301,2.0,33.37663853655727,33.24154027718932,58.30951894845301,1,0,1
